D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_34_593.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_34_593.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_34_593.jpg, 0, 0, 0, 8.004521E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_34_698.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_34_698.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_34_698.jpg, 0, 0, 0, 7.815673E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_34_806.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_34_806.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_34_806.jpg, 0, 0, 0, 7.803932E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_34_918.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_34_918.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_34_918.jpg, 0, 0, 0, 7.967187E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_019.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_019.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_019.jpg, 0, 0, 0, 7.846109E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_133.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_133.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_133.jpg, 0, 0, 0, 7.859448E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_247.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_247.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_247.jpg, 0, 0, 0, 7.836929E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_360.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_360.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_360.jpg, 0, 0, 0, 7.853127E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_461.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_461.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_461.jpg, 0, 0, 0, 7.880522E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_572.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_572.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_572.jpg, 0, 0, 0, 7.77238E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_689.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_689.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_689.jpg, 0, 0, 0, 8.015146E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_796.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_796.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_796.jpg, 0, 0, 0, 7.830279E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_35_914.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_35_914.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_35_914.jpg, 0, 0, 0, 7.808171E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_36_017.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_36_017.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_36_017.jpg, 0, 0, 0, 7.911365E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_36_122.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_36_122.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_36_122.jpg, 0, 0, 0, 7.804753E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_36_237.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_36_237.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_36_237.jpg, 0, 0, 0, 7.965195E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_36_342.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_36_342.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_36_342.jpg, 0, 0, 0, 7.784436E-05
D:\IIT-B Internship\Data\IMG\center_2020_05_14_19_01_36_460.jpg, D:\IIT-B Internship\Data\IMG\left_2020_05_14_19_01_36_460.jpg, D:\IIT-B Internship\Data\IMG\right_2020_05_14_19_01_36_460.jpg, 0, 0, 0, 7.780471E-05
